Region,Good,Material,value
NEU,Electrical/Electronics,BioPlastics,0.002656084
MEA,Electrical/Electronics,BioPlastics,0.002639824
REF,Electrical/Electronics,BioPlastics,0.002633521
CAZ,Electrical/Electronics,BioPlastics,0.002657936
CHA,Electrical/Electronics,BioPlastics,0.002614207
IND,Electrical/Electronics,BioPlastics,0.002610299
JPN,Electrical/Electronics,BioPlastics,0.002644878
USA,Electrical/Electronics,BioPlastics,0.002653944
LAM,Electrical/Electronics,Fibres,0
OAS,Electrical/Electronics,Fibres,0
SSA,Electrical/Electronics,Fibres,0
EUR,Electrical/Electronics,Fibres,0
NEU,Electrical/Electronics,Fibres,0
MEA,Electrical/Electronics,Fibres,0
REF,Electrical/Electronics,Fibres,0
CAZ,Electrical/Electronics,Fibres,0
CHA,Electrical/Electronics,Fibres,0
IND,Electrical/Electronics,Fibres,0
JPN,Electrical/Electronics,Fibres,0
USA,Electrical/Electronics,Fibres,0
LAM,Electrical/Electronics,Elastomers (tyres),0
OAS,Electrical/Electronics,Elastomers (tyres),0
SSA,Electrical/Electronics,Elastomers (tyres),0
EUR,Electrical/Electronics,Elastomers (tyres),0
NEU,Electrical/Electronics,Elastomers (tyres),0
MEA,Electrical/Electronics,Elastomers (tyres),0
REF,Electrical/Electronics,Elastomers (tyres),0
CAZ,Electrical/Electronics,Elastomers (tyres),0
CHA,Electrical/Electronics,Elastomers (tyres),0
IND,Electrical/Electronics,Elastomers (tyres),0
JPN,Electrical/Electronics,Elastomers (tyres),0
USA,Electrical/Electronics,Elastomers (tyres),0
LAM,Electrical/Electronics,Others,0.314256951
OAS,Electrical/Electronics,Others,0.314584965
SSA,Electrical/Electronics,Others,0.316556378
EUR,Electrical/Electronics,Others,0.317011309
NEU,Electrical/Electronics,Others,0.317867525
MEA,Electrical/Electronics,Others,0.316427343
REF,Electrical/Electronics,Others,0.315711412
CAZ,Electrical/Electronics,Others,0.31807678
CHA,Electrical/Electronics,Others,0.31378003
IND,Electrical/Electronics,Others,0.313389197
JPN,Electrical/Electronics,Others,0.316733186
USA,Electrical/Electronics,Others,0.317726918
LAM,Electrical/Electronics,HDPE,0.028251672
OAS,Electrical/Electronics,HDPE,0.028023589
SSA,Electrical/Electronics,HDPE,0.026927955
EUR,Electrical/Electronics,HDPE,0.026388267
NEU,Electrical/Electronics,HDPE,0.026024811
MEA,Electrical/Electronics,HDPE,0.026995388
REF,Electrical/Electronics,HDPE,0.027408394
CAZ,Electrical/Electronics,HDPE,0.025966472
CHA,Electrical/Electronics,HDPE,0.028501927
IND,Electrical/Electronics,HDPE,0.028772921
JPN,Electrical/Electronics,HDPE,0.026620845
USA,Electrical/Electronics,HDPE,0.02612925
LAM,Electrical/Electronics,PET,0
OAS,Electrical/Electronics,PET,0
SSA,Electrical/Electronics,PET,0
EUR,Electrical/Electronics,PET,0
NEU,Electrical/Electronics,PET,0
MEA,Electrical/Electronics,PET,0
REF,Electrical/Electronics,PET,0
CAZ,Electrical/Electronics,PET,0
CHA,Electrical/Electronics,PET,0
IND,Electrical/Electronics,PET,0
JPN,Electrical/Electronics,PET,0
USA,Electrical/Electronics,PET,0
LAM,Electrical/Electronics,PP,0.204354128
OAS,Electrical/Electronics,PP,0.203885082
SSA,Electrical/Electronics,PP,0.201309809
EUR,Electrical/Electronics,PP,0.200450643
NEU,Electrical/Electronics,PP,0.199436347
MEA,Electrical/Electronics,PP,0.201474516
REF,Electrical/Electronics,PP,0.202421778
CAZ,Electrical/Electronics,PP,0.199213876
CHA,Electrical/Electronics,PP,0.204913709
IND,Electrical/Electronics,PP,0.205521838
JPN,Electrical/Electronics,PP,0.200884029
USA,Electrical/Electronics,PP,0.199642649
LAM,Electrical/Electronics,PS,0.094039625
OAS,Electrical/Electronics,PS,0.094136262
SSA,Electrical/Electronics,PS,0.094727041
EUR,Electrical/Electronics,PS,0.094863598
NEU,Electrical/Electronics,PS,0.09511984
MEA,Electrical/Electronics,PS,0.094689382
REF,Electrical/Electronics,PS,0.094476359
CAZ,Electrical/Electronics,PS,0.095182256
CHA,Electrical/Electronics,PS,0.09390229
IND,Electrical/Electronics,PS,0.09377822
JPN,Electrical/Electronics,PS,0.094780812
USA,Electrical/Electronics,PS,0.095077959
LAM,Electrical/Electronics,PUR,0.049692277
OAS,Electrical/Electronics,PUR,0.049760978
SSA,Electrical/Electronics,PUR,0.050127445
EUR,Electrical/Electronics,PUR,0.050247858
NEU,Electrical/Electronics,PUR,0.050394969
MEA,Electrical/Electronics,PUR,0.050104461
REF,Electrical/Electronics,PUR,0.049969372
CAZ,Electrical/Electronics,PUR,0.050425739
CHA,Electrical/Electronics,PUR,0.049607602
IND,Electrical/Electronics,PUR,0.049529226
JPN,Electrical/Electronics,PUR,0.05018642
USA,Electrical/Electronics,PUR,0.050364958
LAM,Electrical/Electronics,LDPE,0.087128925
OAS,Electrical/Electronics,LDPE,0.086904496
SSA,Electrical/Electronics,LDPE,0.086209321
EUR,Electrical/Electronics,LDPE,0.085303059
NEU,Electrical/Electronics,LDPE,0.085296368
MEA,Electrical/Electronics,LDPE,0.086244405
REF,Electrical/Electronics,LDPE,0.086532386
CAZ,Electrical/Electronics,LDPE,0.085366654
CHA,Electrical/Electronics,LDPE,0.087242127
IND,Electrical/Electronics,LDPE,0.087544683
JPN,Electrical/Electronics,LDPE,0.085603375
USA,Electrical/Electronics,LDPE,0.085415977
LAM,Electrical/Electronics,PVC,0.08052197
OAS,Electrical/Electronics,PVC,0.080755096
SSA,Electrical/Electronics,PVC,0.081145653
EUR,Electrical/Electronics,PVC,0.082396464
NEU,Electrical/Electronics,PVC,0.082102
MEA,Electrical/Electronics,PVC,0.081136006
REF,Electrical/Electronics,PVC,0.08093736
CAZ,Electrical/Electronics,PVC,0.081917591
CHA,Electrical/Electronics,PVC,0.080540135
IND,Electrical/Electronics,PVC,0.080174679
JPN,Electrical/Electronics,PVC,0.082026105
USA,Electrical/Electronics,PVC,0.081969448
LAM,Others,ABS_ASA_SAN,0.010021028
OAS,Others,ABS_ASA_SAN,0.010819728
SSA,Others,ABS_ASA_SAN,0.011057695
EUR,Others,ABS_ASA_SAN,0.009864977
NEU,Others,ABS_ASA_SAN,0.01029442
MEA,Others,ABS_ASA_SAN,0.011359445
REF,Others,ABS_ASA_SAN,0.011142198
CAZ,Others,ABS_ASA_SAN,0.010505324
CHA,Others,ABS_ASA_SAN,0.010100864
IND,Others,ABS_ASA_SAN,0.010482114
JPN,Others,ABS_ASA_SAN,0.010645203
USA,Others,ABS_ASA_SAN,0.010536992
LAM,Others,BioPlastics,0.003350773
OAS,Others,BioPlastics,0.003773746
SSA,Others,BioPlastics,0.003782512
EUR,Others,BioPlastics,0.00351116
NEU,Others,BioPlastics,0.003629764
MEA,Others,BioPlastics,0.003782631
REF,Others,BioPlastics,0.003739427
CAZ,Others,BioPlastics,0.003579649
CHA,Others,BioPlastics,0.003525276
IND,Others,BioPlastics,0.003779949
JPN,Others,BioPlastics,0.003768508
USA,Others,BioPlastics,0.003708075
LAM,Others,Fibres,0.147453062
OAS,Others,Fibres,0.16148651
SSA,Others,Fibres,0.164337468
EUR,Others,Fibres,0.145892483
NEU,Others,Fibres,0.151485908
MEA,Others,Fibres,0.167435527
REF,Others,Fibres,0.161173994
CAZ,Others,Fibres,0.157102053
CHA,Others,Fibres,0.148587918
IND,Others,Fibres,0.155542085
JPN,Others,Fibres,0.155763278
USA,Others,Fibres,0.154722741
LAM,Others,Elastomers (tyres),0
OAS,Others,Elastomers (tyres),0
SSA,Others,Elastomers (tyres),0
EUR,Others,Elastomers (tyres),0
NEU,Others,Elastomers (tyres),0
MEA,Others,Elastomers (tyres),0
REF,Others,Elastomers (tyres),0
CAZ,Others,Elastomers (tyres),0
CHA,Others,Elastomers (tyres),0
IND,Others,Elastomers (tyres),0
JPN,Others,Elastomers (tyres),0
USA,Others,Elastomers (tyres),0
LAM,Others,Others,0.445586546
OAS,Others,Others,0.485875938
SSA,Others,Others,0.492754649
EUR,Others,Others,0.451273456
NEU,Others,Others,0.462738615
MEA,Others,Others,0.493597691
REF,Others,Others,0.490984125
CAZ,Others,Others,0.463337623
CHA,Others,Others,0.456620576
IND,Others,Others,0.486145374
JPN,Others,Others,0.481531324
USA,Others,Others,0.469871014
LAM,Others,HDPE,0.074245869
OAS,Others,HDPE,0.060385392
SSA,Others,HDPE,0.055428225
EUR,Others,HDPE,0.073851603
NEU,Others,HDPE,0.065100579
MEA,Others,HDPE,0.052772352
REF,Others,HDPE,0.057300787
CAZ,Others,HDPE,0.066021199
